graph_file,num_nodes,num_edges
44618595.graph,34,36
91852669.graph,70,75
91862953.graph,150,162
10766158.graph,33,38
60185256.graph,27,31
60190126.graph,29,32
44501750.graph,47,51
1570.graph,8,8
6823.graph,21,23
656722.graph,45,48
11631564.graph,25,24
2314360.graph,38,40
71602.graph,13,13
51397512.graph,32,35
99288.graph,9,8
259587.graph,20,21
6537099.graph,17,19
44486409.graph,38,40
54619123.graph,34,37
5459842.graph,10,10
5461081.graph,12,12
4398214.graph,13,14
54619960.graph,34,36
3466207.graph,28,30
44494269.graph,41,44
73574.graph,34,38
25202983.graph,15,14
16213419.graph,10,9
44504975.graph,32,34
3606.graph,20,21
44506240.graph,41,44
6060.graph,10,9
91666403.graph,32,31
5284017.graph,26,29
5281671.graph,31,34
552292.graph,22,21
44484811.graph,43,47
44483542.graph,39,42
71581059.graph,35,37
54647790.graph,31,34
44486324.graph,31,32
44493054.graph,40,43
91858959.graph,109,117
54614791.graph,39,41
23644246.graph,51,50
52926298.graph,34,33
11753405.graph,42,47
53036.graph,17,18
61439.graph,5,4
57339252.graph,48,48
10820745.graph,10,9
37888265.graph,19,20
210332.graph,29,33
5479543.graph,49,51
54631398.graph,40,43
54639461.graph,36,39
91845593.graph,47,50
4071548.graph,21,23
54640280.graph,29,31
44484052.graph,39,42
86290058.graph,31,31
12286.graph,7,7
162935.graph,12,12
24892842.graph,24,25
20689.graph,12,11
70678651.graph,65,69
111318.graph,29,33
10312147.graph,41,45
20843368.graph,23,23
733782.graph,22,23
12922960.graph,29,32
11433862.graph,46,45
139291723.graph,67,73
91855454.graph,64,68
54640651.graph,28,30
44484483.graph,37,40
56927969.graph,32,35
135501734.graph,24,27
6475746.graph,23,22
54631749.graph,28,29
76968241.graph,22,24
54645874.graph,40,46
54647341.graph,36,40
44493485.graph,35,37
441117.graph,21,22
54657657.graph,36,39
1206083.graph,24,27
158280.graph,18,20
148302.graph,22,24
1218.graph,20,22
2227970.graph,20,22
9548580.graph,13,13
21117640.graph,31,34
124693.graph,22,24
44625889.graph,42,41
44486361.graph,36,39
441583.graph,25,28
91855883.graph,40,42
44484854.graph,41,43
5370648.graph,18,19
44140615.graph,43,46
129626688.graph,37,37
90659906.graph,24,27
222778.graph,20,22
70680359.graph,39,38
54639424.graph,24,25
785602.graph,20,22
2630179.graph,23,25
479503.graph,21,22
57339217.graph,13,13
123132012.graph,41,47
4917700.graph,34,38
16216517.graph,48,54
9852746.graph,48,52
9547769.graph,37,41
5281119.graph,16,15
4654815.graph,28,31
441911.graph,80,88
71298295.graph,75,80
44483995.graph,45,49
54640614.graph,33,36
91855411.graph,75,80
70678614.graph,23,22
24892807.graph,20,22
9973.graph,10,10
137553785.graph,41,45
3755909.graph,18,20
54647304.graph,26,29
91852101.graph,128,137
91847271.graph,35,37
54657612.graph,34,37
54645831.graph,42,47
53356742.graph,64,64
15893878.graph,15,15
54651347.graph,27,28
86289666.graph,22,22
447407.graph,16,16
442261.graph,24,27
54654521.graph,35,38
71306366.graph,10,9
5288274.graph,58,61
105068.graph,30,30
136032508.graph,44,47
68711.graph,38,40
125207.graph,14,13
8175.graph,11,10
11716890.graph,23,26
11382492.graph,26,28
53316925.graph,32,36
146672821.graph,226,242
783786.graph,21,22
44616812.graph,38,40
102594495.graph,56,61
54646341.graph,37,41
440117.graph,20,20
1017819.graph,28,30
14347.graph,15,16
2968.graph,18,17
47346.graph,19,18
10081070.graph,13,13
92969.graph,21,22
91853595.graph,91,96
44492054.graph,34,36
4488498.graph,13,12
54637688.graph,42,46
3239974.graph,30,33
54638461.graph,26,28
132282371.graph,68,71
54649579.graph,31,33
60189876.graph,34,38
46878536.graph,41,45
54641280.graph,36,40
4224596.graph,14,15
72259.graph,10,10
71464478.graph,18,17
34128.graph,32,35
77.graph,12,11
8973.graph,13,12
71306323.graph,43,47
56601080.graph,41,44
1084941.graph,27,29
5132241.graph,31,34
3036285.graph,26,27
2952440.graph,29,31
6435921.graph,32,34
54654564.graph,32,35
86289623.graph,63,65
54651302.graph,29,32
10054688.graph,45,49
91853942.graph,57,60
76969204.graph,38,41
5472558.graph,21,24
4396344.graph,35,42
16066511.graph,20,22
6857471.graph,23,26
146672864.graph,157,169
54646304.graph,38,43
91846271.graph,72,77
440152.graph,24,26
135886643.graph,63,67
8130.graph,8,7
11701090.graph,11,10
2090539.graph,31,34
54669753.graph,22,24
16723570.graph,37,39
44487361.graph,30,32
440583.graph,24,29
44492011.graph,40,42
608.graph,12,12
16837.graph,19,20
51351676.graph,42,46
7708.graph,10,10
132282334.graph,28,28
54638424.graph,29,30
5317756.graph,27,29
46878573.graph,28,28
44485017.graph,41,44
44488188.graph,46,48
10041129.graph,21,23
60189833.graph,40,45
60191262.graph,30,33
54646728.graph,33,37
54661057.graph,35,39
445318.graph,20,20
56835217.graph,35,38
135421845.graph,17,19
54632056.graph,33,35
13019211.graph,14,14
25245524.graph,10,9
138756180.graph,31,35
146955.graph,11,10
5483.graph,10,9
23278454.graph,28,32
21598365.graph,33,37
124202345.graph,18,17
3705611.graph,21,22
52951628.graph,50,54
77487.graph,9,8
134692105.graph,54,57
5485201.graph,26,30
44500886.graph,40,43
70679238.graph,24,23
939883.graph,17,18
54632815.graph,39,42
51042410.graph,30,31
11966206.graph,57,59
54654148.graph,37,41
60184951.graph,36,40
54666547.graph,36,40
44488175.graph,46,48
53355018.graph,34,37
2886334.graph,33,37
44634521.graph,24,27
23690443.graph,19,19
5280535.graph,11,11
5287866.graph,7,6
44825342.graph,33,36
73707367.graph,48,51
62326.graph,6,5
13807318.graph,9,8
91722674.graph,13,14
54654599.graph,39,43
54649110.graph,31,32
91859573.graph,147,157
14458886.graph,40,45
6918130.graph,39,40
7005114.graph,13,12
54638008.graph,35,38
4619755.graph,33,36
54618267.graph,39,42
54632487.graph,36,39
146672899.graph,36,38
90658569.graph,33,35
54649953.graph,24,26
262535.graph,30,34
746807.graph,17,18
5282643.graph,15,14
10476720.graph,27,26
24814.graph,4,3
11148.graph,51,50
5052.graph,44,49
159238.graph,20,22
44500080.graph,42,45
8559.graph,18,18
2995.graph,20,22
124202300.graph,32,34
54661012.graph,36,41
44488973.graph,37,39
60191227.graph,18,20
56835252.graph,42,46
54740349.graph,26,26
54637675.graph,41,45
54632013.graph,28,29
5462427.graph,27,31
54632850.graph,34,36
11966243.graph,5,5
5460751.graph,52,57
54649584.graph,30,32
91861924.graph,217,231
60184914.graph,30,34
54666502.graph,26,29
3448551.graph,21,22
115152.graph,15,16
23990.graph,1,0
54649155.graph,32,33
54671996.graph,18,17
1489069.graph,25,27
6539171.graph,11,11
23665405.graph,11,11
5280570.graph,32,32
52922891.graph,52,51
7361.graph,7,7
2507.graph,34,38
24012.graph,4,3
44825307.graph,27,30
77013.graph,5,5
44505237.graph,35,38
122198258.graph,25,24
5702003.graph,24,27
261.graph,5,4
23657849.graph,32,35
54618222.graph,36,39
5353338.graph,15,17
44487708.graph,45,49
54649916.graph,31,34
44619245.graph,46,49
45266603.graph,59,61
91858573.graph,61,65
44483968.graph,42,45
91862685.graph,46,48
44620280.graph,50,53
24944097.graph,17,18
54639008.graph,31,33
54634197.graph,35,37
25246283.graph,15,14
5281535.graph,16,15
5284353.graph,43,49
4547230.graph,23,25
6324.graph,2,1
17458.graph,24,24
3542.graph,20,22
50993825.graph,32,35
137553778.graph,22,24
3157742.graph,21,22
32051.graph,1,0
2819767.graph,17,18
54633487.graph,35,37
2748280.graph,18,19
16743552.graph,25,27
54619267.graph,40,43
70697773.graph,21,20
237867.graph,24,27
53262794.graph,25,24
3953303.graph,28,31
10599.graph,21,22
54647728.graph,34,38
71297450.graph,110,118
54652458.graph,30,34
60185112.graph,32,36
53262345.graph,91,91
54614729.graph,35,36
54633056.graph,36,39
129626675.graph,34,35
6950479.graph,7,6
5459794.graph,9,8
54633815.graph,33,35
54631320.graph,39,42
91860961.graph,47,49
44489175.graph,36,39
54660814.graph,35,39
54640238.graph,30,32
25200523.graph,16,16
2872337.graph,27,30
91666396.graph,51,50
49831596.graph,34,39
152266.graph,24,27
5281570.graph,16,17
20674.graph,25,27
4854.graph,23,26
2362469.graph,17,18
9826451.graph,34,37
73675.graph,22,24
1549041.graph,12,12
53477961.graph,42,41
91858536.graph,107,114
56927994.graph,21,23
45266646.graph,44,48
6919175.graph,12,12
23663956.graph,20,18
54619222.graph,30,32
70697736.graph,45,47
54645889.graph,32,35
2724754.graph,13,13
16722119.graph,9,8
2999928.graph,36,41
91670.graph,34,37
71728351.graph,26,27
3104706.graph,19,20
32014.graph,23,26
60185157.graph,29,33
2724385.graph,55,62
71297415.graph,86,92
91852568.graph,76,81
16728904.graph,25,27
91860167.graph,252,268
53262300.graph,69,74
99558.graph,10,9
44618694.graph,37,38
1288978.graph,35,39
129626630.graph,47,51
54633013.graph,33,35
197559.graph,29,28
9559.graph,13,12
3995.graph,20,20
13819073.graph,57,60
114911.graph,18,21
6883274.graph,28,30
6708716.graph,61,68
5486971.graph,11,10
54631365.graph,37,40
50908216.graph,26,29
54633850.graph,34,36
3334922.graph,15,14
91855078.graph,65,68
44489130.graph,42,45
91860924.graph,160,171
54658092.graph,32,36
23724781.graph,23,26
44620614.graph,42,45
69410.graph,12,11
54657556.graph,27,29
71297338.graph,161,174
91852245.graph,108,115
91857423.graph,139,150
53356406.graph,23,27
134716642.graph,49,60
54614802.graph,39,41
54631448.graph,34,36
54647803.graph,33,36
54640550.graph,27,29
443160.graph,10,10
53478037.graph,42,41
54650046.graph,30,33
44504988.graph,33,35
70678550.graph,81,87
12187.graph,8,7
44237173.graph,18,17
71298500.graph,151,162
54640181.graph,30,32
60190998.graph,33,36
44494645.graph,42,45
54639760.graph,30,32
134160318.graph,38,39
70697858.graph,56,64
686704.graph,12,12
11601631.graph,19,19
23425086.graph,23,24
137553853.graph,46,51
51041.graph,16,17
14136871.graph,33,38
10620.graph,21,22
52926199.graph,52,51
32739.graph,11,10
170885.graph,66,73
21668242.graph,7,6
9974249.graph,22,23
56602463.graph,36,37
646618.graph,32,36
146170830.graph,161,174
53239704.graph,50,53
136226467.graph,13,13
691702.graph,24,26
44140551.graph,27,29
44483643.graph,32,34
54647491.graph,36,40
91852694.graph,147,159
3545606.graph,8,8
5311102.graph,41,42
12303374.graph,9,9
11789781.graph,13,13
53478831.graph,54,53
91847170.graph,23,24
54657513.graph,38,41
91857466.graph,106,112
44610605.graph,84,96
1072935.graph,25,28
54730539.graph,10,10
9231.graph,10,11
160907.graph,11,10
79143.graph,9,9
124143.graph,16,15
133145.graph,23,24
25243719.graph,30,33
177901.graph,18,19
23420274.graph,13,12
54614847.graph,40,42
5461039.graph,11,10
46906066.graph,108,109
54640515.graph,30,32
91850176.graph,204,216
456255.graph,31,34
54650003.graph,28,30
443125.graph,12,12
91862579.graph,43,46
53478072.graph,48,47
54647846.graph,35,38
12311180.graph,22,24
101936044.graph,35,39
6409.graph,6,5
6710640.graph,57,60
24755508.graph,1,0
137553816.graph,28,31
44374.graph,23,27
64958.graph,27,30
44484316.graph,31,33
1488701.graph,18,19
54657981.graph,39,43
6431897.graph,15,16
54639725.graph,33,35
13887348.graph,22,22
146170875.graph,191,204
53239741.graph,116,119
22833510.graph,13,12
44491825.graph,32,34
54640987.graph,30,32
16019973.graph,25,24
44486060.graph,42,46
5311147.graph,40,46
6604404.graph,19,21
9548681.graph,8,9
24892794.graph,52,51
1119.graph,3,2
70678987.graph,31,31
10372299.graph,49,52
6101690.graph,16,15
70679181.graph,49,48
72158.graph,21,23
67228.graph,30,34
15559964.graph,23,23
54649678.graph,30,32
44616781.graph,37,39
3193750.graph,30,33
132282070.graph,71,74
91828303.graph,66,68
54638760.graph,24,25
5353415.graph,25,24
206035.graph,11,10
44490860.graph,29,30
44487025.graph,45,47
91853694.graph,73,78
54646491.graph,37,41
49843441.graph,48,51
1966581.graph,28,32
10197243.graph,52,57
442923.graph,32,34
440216.graph,9,8
54646040.graph,30,32
91853245.graph,125,134
54615041.graph,44,47
193412.graph,10,10
6441558.graph,54,53
1415822.graph,26,28
9566293.graph,23,24
8274.graph,18,19
3774061.graph,14,15
3771607.graph,19,21
26098.graph,22,24
120760.graph,20,21
68410.graph,6,5
7217941.graph,27,29
16091520.graph,32,34
13187.graph,10,9
16061345.graph,31,34
146672363.graph,158,170
11954161.graph,23,26
91854755.graph,176,187
86289567.graph,59,65
442160.graph,24,27
247285.graph,21,24
5794484.graph,48,49
44490066.graph,40,43
9657585.graph,26,28
54638725.graph,23,24
7409.graph,9,9
1469472.graph,27,30
25789723.graph,25,25
5287708.graph,8,7
14003.graph,35,37
5458468.graph,23,22
5288973.graph,57,60
13981.graph,26,28
91853200.graph,72,77
91856466.graph,91,96
54646005.graph,30,33
442966.graph,23,27
44591583.graph,19,21
5308779.graph,20,21
3692773.graph,5,4
54615004.graph,45,48
10008761.graph,42,41
126843514.graph,16,15
146672326.graph,95,102
91825608.graph,64,69
13386145.graph,53,58
11954124.graph,15,17
4891389.graph,33,38
5460039.graph,10,9
91846933.graph,81,87
442125.graph,40,44
86289522.graph,20,22
6917866.graph,24,27
15458487.graph,15,15
107819.graph,12,12
39722.graph,17,17
164722.graph,20,22
161144.graph,1,0
2535434.graph,27,29
129011082.graph,43,42
129626768.graph,44,43
57772155.graph,23,25
276389.graph,38,42
12314995.graph,22,23
91855963.graph,30,32
54647635.graph,38,42
91847740.graph,150,161
2739654.graph,18,20
54652545.graph,23,26
21636178.graph,27,29
24747189.graph,28,32
11988281.graph,31,33
10484.graph,4,3
129320300.graph,24,24
11057771.graph,19,20
3731613.graph,30,33
54640325.graph,32,34
54660909.graph,29,33
3301126.graph,18,19
70698056.graph,29,33
122164868.graph,23,22
54633908.graph,27,28
41322.graph,23,28
51634.graph,15,15
135398680.graph,39,42
659792.graph,22,23
5281428.graph,18,19
44142052.graph,27,31
54639115.graph,31,33
46224542.graph,28,29
53478293.graph,46,45
53477839.graph,34,33
44484526.graph,36,39
71298375.graph,82,87
2999033.graph,25,27
44483875.graph,40,43
44494873.graph,44,48
53338806.graph,22,24
54639956.graph,25,26
50898054.graph,24,25
165914.graph,1,0
9444.graph,17,18
1507946.graph,25,28
3918464.graph,24,26
54710960.graph,16,16
11957427.graph,11,11
54614671.graph,42,44
71297508.graph,83,89
54647670.graph,32,35
54652500.graph,24,27
441426.graph,22,23
44139912.graph,36,39
91860839.graph,57,60
53478607.graph,52,51
446136.graph,31,33
54640360.graph,31,33
823976.graph,18,19
70698013.graph,27,29
54639581.graph,30,32
25111596.graph,61,61
54629097.graph,37,40
16193152.graph,28,30
52921668.graph,26,27
16186222.graph,87,92
3915969.graph,23,26
54639150.graph,32,35
71298330.graph,105,113
44483830.graph,39,41
443381.graph,63,68
66418.graph,21,24
2358682.graph,20,21
4949.graph,16,16
12366.graph,20,19
9567831.graph,15,15
21769546.graph,43,48
10010.graph,16,15
646028.graph,34,40
3882765.graph,20,22
44618358.graph,42,45
44496303.graph,40,43
54645994.graph,37,41
42607331.graph,28,27
71759354.graph,38,43
54639913.graph,23,24
54638115.graph,38,41
135439725.graph,25,28
42640846.graph,48,49
12315507.graph,31,34
5307771.graph,32,35
82148.graph,18,19
247021.graph,22,25
5312401.graph,16,15
54654484.graph,32,35
3242997.graph,29,32
108052.graph,23,27
667202.graph,33,36
7239.graph,8,8
159325.graph,41,43
11055.graph,19,21
25229579.graph,49,53
90728.graph,8,7
91856687.graph,145,155
44487650.graph,32,34
91846391.graph,226,244
138911099.graph,25,28
339.graph,7,6
54638956.graph,33,36
6857591.graph,24,28
439653.graph,24,26
124202258.graph,20,22
8401.graph,15,16
54711925.graph,15,14
54615634.graph,46,48
9629495.graph,24,27
439282.graph,11,10
16134956.graph,266,271
54646635.graph,36,40
91856256.graph,118,126
91846740.graph,103,111
440463.graph,55,57
72715775.graph,24,24
101289694.graph,23,23
54654055.graph,42,47
44490287.graph,38,40
442715.graph,21,22
46878493.graph,8,8
91854120.graph,117,126
54641325.graph,31,33
46907656.graph,24,26
5460609.graph,4,3
146672516.graph,162,174
54632908.graph,34,36
5288700.graph,16,16
1093435.graph,24,26
50899852.graph,45,47
55483.graph,26,27
92136200.graph,20,21
54686729.graph,12,12
3624880.graph,22,24
16500.graph,38,41
169419.graph,42,46
1676037.graph,31,34
5257577.graph,4,3
146672182.graph,132,142
54638150.graph,43,47
14841119.graph,24,26
44490613.graph,42,45
442381.graph,19,19
86289786.graph,27,27
44485563.graph,32,34
54653992.graph,39,43
54649048.graph,32,33
3245481.graph,30,33
71627191.graph,76,78
44497303.graph,41,43
445691.graph,10,9
439616.graph,11,11
54638913.graph,30,32
660757.graph,20,22
14676.graph,21,24
33109.graph,11,12
11010.graph,1,0
10944128.graph,17,17
1244474.graph,27,30
10094631.graph,32,37
24771774.graph,13,12
66931399.graph,30,32
913778.graph,24,26
7020094.graph,19,19
54637768.graph,37,40
54646670.graph,36,40
91856213.graph,37,39
91846705.graph,45,48
1094923.graph,22,23
9559970.graph,27,29
5288745.graph,34,36
44260124.graph,52,51
71464598.graph,28,30
15942877.graph,26,27
44616560.graph,48,51
92973826.graph,22,24
86289357.graph,22,21
54654010.graph,39,43
442750.graph,25,27
91851703.graph,65,69
54641360.graph,32,35
91854165.graph,68,72
54649499.graph,34,36
132282291.graph,30,30
914268.graph,18,20
135413551.graph,18,19
54638581.graph,30,32
146672553.graph,98,104
65492.graph,31,31
10220660.graph,17,17
25796555.graph,23,24
8369.graph,9,9
6892911.graph,25,27
10283004.graph,28,31
6451153.graph,37,37
5460922.graph,10,9
6857628.graph,1,0
54632623.graph,26,27
11545701.graph,24,27
12851065.graph,21,22
56835462.graph,45,49
71296225.graph,48,47
60191417.graph,29,32
248932.graph,21,24
54664807.graph,33,37
5838784.graph,33,35
44488700.graph,30,31
91854648.graph,76,81
6971063.graph,7,7
5460161.graph,6,5
118797949.graph,41,40
54637806.graph,40,44
21785456.graph,17,19
16061258.graph,30,29
91825750.graph,104,106
54620043.graph,35,37
54618880.graph,40,43
7180.graph,17,18
9543787.graph,46,45
5280791.graph,40,40
25201356.graph,16,15
439978.graph,12,11
16129625.graph,80,89
5312369.graph,13,12
247749.graph,27,31
45272306.graph,41,43
25164114.graph,30,34
91859306.graph,158,170
54649765.graph,31,33
122706169.graph,75,81
71464664.graph,25,24
7551.graph,16,16
2337.graph,12,12
9864776.graph,27,27
6615809.graph,30,33
44505407.graph,37,40
33624.graph,21,22
36688063.graph,15,15
25245780.graph,32,34
5282036.graph,36,37
65043.graph,16,18
70333.graph,13,14
135563681.graph,23,22
91861386.graph,45,48
91853789.graph,54,56
25137956.graph,5,5
54618412.graph,35,37
5460967.graph,7,6
5371085.graph,11,11
3223626.graph,35,39
3211229.graph,33,35
54632666.graph,34,36
54615119.graph,47,49
22262443.graph,20,19
56835427.graph,41,44
60191452.graph,31,35
71627228.graph,44,47
445528.graph,8,8
91861712.graph,51,54
54646118.graph,28,30
68548.graph,22,24
7408226.graph,15,14
151720.graph,10,9
52922276.graph,52,51
44502583.graph,42,45
2401502.graph,23,24
107904.graph,26,27
75982.graph,7,6
54664842.graph,34,39
91849284.graph,51,54
44488745.graph,38,40
91859792.graph,255,272
5460124.graph,23,22
6971026.graph,13,12
54620006.graph,37,40
54637843.graph,41,45
71464621.graph,23,22
73707557.graph,15,15
169371.graph,32,34
2372.graph,25,26
137333886.graph,32,35
7514.graph,8,8
161488.graph,15,15
1400698.graph,28,30
5363234.graph,30,29
4609473.graph,19,21
23652019.graph,17,16
132282128.graph,67,70
21932272.graph,21,23
54638638.graph,31,33
448825.graph,11,11
4060207.graph,12,12
91859343.graph,69,73
54649720.graph,37,40
87840.graph,21,23
15735862.graph,32,34
44490938.graph,39,40
60191083.graph,31,34
54618457.graph,34,36
25137913.graph,41,48
44500224.graph,47,49
5662.graph,19,21
5282073.graph,19,21
68199.graph,24,25
738585.graph,21,22
1968675.graph,33,35
53480467.graph,37,36
3337.graph,16,16
52921594.graph,57,60
4885570.graph,27,29
70697945.graph,29,34
23724560.graph,82,86
35021040.graph,24,24
44494758.graph,39,41
91858306.graph,151,161
868027.graph,22,23
12524095.graph,9,8
91860386.graph,84,88
45266835.graph,55,59
44486138.graph,37,40
91852789.graph,45,48
54619412.graph,34,36
73427386.graph,111,118
121232645.graph,11,10
5283036.graph,25,25
74555.graph,11,11
5158448.graph,21,23
10098083.graph,38,45
46904248.graph,32,34
54633623.graph,36,38
5334884.graph,27,29
53361772.graph,33,35
91847028.graph,100,107
91852358.graph,122,131
54665044.graph,27,30
56649341.graph,41,42
140273.graph,8,8
52923233.graph,56,55
2809896.graph,29,32
177859.graph,37,41
71448906.graph,69,71
101412.graph,11,11
45259137.graph,33,36
91862421.graph,61,65
44494389.graph,43,45
86583442.graph,59,61
188496.graph,22,24
135501528.graph,25,27
227796.graph,28,32
54634333.graph,31,32
54631555.graph,42,45
54619880.graph,35,37
70697900.graph,30,35
188002.graph,16,18
54639638.graph,24,25
23661416.graph,22,23
23724525.graph,22,22
469209.graph,24,27
2726257.graph,19,20
71298458.graph,184,195
86290201.graph,38,37
119269.graph,26,28
643965.graph,59,59
6514.graph,6,5
3372.graph,30,33
5281305.graph,43,47
10452519.graph,26,27
1004.graph,5,4
664659.graph,33,36
24747275.graph,30,31
20841696.graph,47,50
86840.graph,12,13
45266870.graph,18,18
71581200.graph,38,37
44491938.graph,41,44
60190083.graph,30,34
146170968.graph,139,148
54619457.graph,31,33
54631982.graph,35,37
44504093.graph,39,42
49787022.graph,51,54
656687.graph,19,20
4256170.graph,25,27
6986.graph,11,11
10376935.graph,17,18
90659788.graph,129,134
126456512.graph,40,39
54633666.graph,34,36
54619086.graph,34,37
2762681.graph,26,29
135567473.graph,63,63
54660667.graph,34,38
54647118.graph,41,46
54665001.graph,34,38
91848284.graph,197,210
86583407.graph,45,44
71298089.graph,40,42
54640408.graph,31,33
443038.graph,25,27
45259172.graph,34,36
6442776.graph,32,34
54631510.graph,37,39
54634376.graph,34,36
6876402.graph,32,34
28329.graph,20,21
111141.graph,22,24
133058.graph,22,23
49852423.graph,56,58
9821318.graph,27,28
118987300.graph,17,19
16746128.graph,26,29
689099.graph,13,14
71759010.graph,36,41
44493621.graph,37,39
91847090.graph,114,123
11201309.graph,31,34
136948128.graph,46,51
122391237.graph,25,24
71298074.graph,41,43
11213569.graph,22,21
91850096.graph,76,81
53478192.graph,46,45
91862499.graph,86,92
58300527.graph,18,19
301926.graph,20,21
54639214.graph,33,36
54619838.graph,35,37
9852176.graph,37,40
5281729.graph,28,29
135398581.graph,24,26
46209921.graph,39,43
70698357.graph,70,72
200480.graph,23,26
91857914.graph,47,50
54657861.graph,31,33
91850447.graph,84,90
54640024.graph,30,32
91855221.graph,59,63
91862048.graph,37,39
91845737.graph,39,41
133474.graph,34,36
17756751.graph,17,19
44237407.graph,28,29
9548761.graph,9,9
70678867.graph,46,48
10785.graph,8,8
152839.graph,28,31
9700.graph,21,22
1871516.graph,18,19
3489614.graph,25,26
123921.graph,37,36
441762.graph,27,32
54652644.graph,19,21
54647534.graph,38,42
91857157.graph,36,37
44486180.graph,44,47
91852731.graph,111,119
54640867.graph,34,37
516872.graph,3,2
3524739.graph,32,35
3190117.graph,35,38
91850890.graph,95,102
1356021.graph,28,31
118987345.graph,26,25
10311.graph,22,24
6604933.graph,17,20
168718.graph,57,60
12067.graph,13,13
38687.graph,21,22
157288.graph,19,20
3996620.graph,17,18
443080.graph,22,24
44491512.graph,42,45
122391272.graph,27,28
71298031.graph,128,138
54639251.graph,32,35
50900322.graph,25,26
135398115.graph,49,52
11292680.graph,28,29
167963.graph,25,28
52921569.graph,30,33
2699975.graph,25,26
654198.graph,26,29
54639680.graph,33,36
70698312.graph,87,93
54640061.graph,28,29
4750171.graph,23,25
443451.graph,25,28
44486986.graph,43,45
54657824.graph,35,39
6433207.graph,11,10
1122641.graph,33,36
54640822.graph,29,31
